"Data Year","Data Year (cat)",Country,Region,Gender,Age,"Age (cat)",Handedness,Height,"Right foot length","Arm span","Languages spoken","Travel method to school","Travel time to school","Reaction time","Memory time","Favourite physical activity","Reducing pollution",Recycling,"Conserving water","Conserving energy","Owning a computer","Access to the internet","Left foot length","Longer foot","Index finger length","Ring finger length","Long finger left hand","Birth month","Favorite season",Allergies,Vegetarian,"Favorite food",Beverage,"Favorite school subject","Sleep hours (school night)","Sleep hours (non-school night)","Home occupants","Home internet access","Communication with friends","Text messages sent yesterday","Text messages received yesterday","Hanging out with friends","Talking on the phone","Doing homework","Doing things with family","Playing sports/outdoor games or activities","Playing computer/video games","Using social networking web sites","Sending/receiving text, SMS, or computer instant messages","Using the computer/internet","Watching TV","Paid work","Housework/Jobs at home","Schoolwork pressure","Planned education level","Favorite music",Superpower,"Preferred status","Role model type","Charity donation"
2013,[2013],USA,SC,Male,0,,Right-Handed,178,27,183,1,Car,4,0.797,45,"Football (American)",500,200,300,400,700,800,27,"Right foot",95,105,"Ring finger",October,Fall,Yes,No,Seafood,Milk,"Social studies",7,9,4,"Yes - broadband connection","Text messaging",161,90,3,2,2,30,2,1,3,12,2,8,15,6,Some,"Graduate degree",Country,Telepathy,Happy,Relative,Health
2015,[2015],USA,IN,Male,0,,Right-Handed,206,37,224,1,Car,13,0.625,52,Basketball,800,500,700,700,300,900,38,"Left foot",90,100,"Ring finger",June,Summer,No,No,Fruit,"Soft drink (caffeinated)","Mathematics and statistics",6,8,4,"Yes - other","In person",150,0,10,1,3,8,4,4,5,6,2,8,0,2,Some,"Graduate degree","Rock and roll",Invisibility,Famous,Relative,Environment
2013,[2013],USA,NC,Female,12,[12],Right-Handed,144,19.5,150,1,Car,15,0.708,52,Baseball/Softball,100,5,50,50,1000,1000,20,"Same length",70,75,"Ring finger",December,Summer,Yes,No,Poultry,"Soft drink (caffeinated)","Physical education",10,8,4,"Yes - other","Text messaging",100,100,60,5,7,55,100,5,55,55,55,100,0,1,None,Other,Country,Fly,Rich,Relative,Health
2015,[2015],USA,VT,Male,15,[15],Right-Handed,183,22,158,1,Bus,5,0,58,Athletics,0,20,0,0,20,20,22,"Same length",80,60,"Index finger",June,Fall,Yes,No,Meat,Water,"Social studies",7,9,4,"Yes - other","In person",3,5,20,1,20,10,7,4,7,6,7,8,0,14,Some,"Some college",Techno/Electronic,Fly,Healthy,Relative,Health
2014,[2014],USA,KS,Male,16,[16],Right-Handed,231,30,231,1,Car,20,0.31,72,"Martial Arts",1000,1000,1000,1000,1000,1000,30,"Same length",100,100,"Same length",January,Summer,No,No,Pizza/Pasta,"Soft drink (caffeinated)",History,8,10,5,"Yes - other","Text messaging",0,0,10,8,6,8,9,10,10,10,10,6,7,9,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,Other,"Education/Youth development"
2014,[2014],USA,WI,Male,14,[14],Right-Handed,161,28,162,1,Walk,10,0.354,50,Swimming,1000,1000,1000,1000,14,500,28,"Same length",100,101,"Ring finger",April,Summer,No,No,Pizza/Pasta,Water,"Computers and technology",9,10,7,"Yes - other","Internet chat or instant messaging",20,15,5,2,1,4,3,4,3,2,5,4,8,3,Some,"Undergraduate degree","Rap/Hip hop","Super strength",Happy,Other,"Wildlife, animals"
2013,[2013],USA,NJ,Female,14,[14],Right-Handed,165,25,163,1,Walk,10,0.431,33,None,900,700,700,700,1000,1000,24,"Right foot",60,70,"Ring finger",November,Fall,No,No,Pizza/Pasta,Juice,"Computers and technology",6,10,4,"Yes - broadband connection","Text messaging",0,0,80,1,1,1,4,6,80,80,80,0,0,0,Some,"Graduate degree",Pop,Invisibility,Famous,Relative,"Wildlife, animals"
2015,[2015],USA,OK,Female,17,[17],Right-Handed,159,24,166,2,Car,8,0.764,42,Other,0,0,0,0,200,900,23,"Right foot",72,77,"Ring finger",February,Summer,No,No,Meat,"Soft drink (caffeinated)",Science,6,11,5,"Yes - broadband connection","Text messaging",50,55,15,2,5,1,15,0,2,15,2,10,35,2,Some,Other,Country,"Freeze time",Happy,Friend,Health
2015,[2015],USA,OH,Female,9,[.-9],Right-Handed,0,0,0,1,,0,0.493,44,Athletics,907,777,69,987,49,2,0,,,,,September,Spring,No,No,Pizza/Pasta,Water,,10,10,4,,,0,0,0,1,7,4,0,1,0,3,0,0,0,0,,"Graduate degree",Pop,Telepathy,Happy,,"Wildlife, animals"
2011,[2011],USA,OH,Female,17,[17],Right-Handed,165,10,152,1,Car,26,0.75,36,Running/Jogging,900,900,400,,1000,1000,11,"Left foot",70,60,"Index finger",August,Summer,Yes,No,Pizza/Pasta,Water,English,7,8,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,7,30,8,4,2,0,15,50,50,4,15,4,"A lot","Graduate degree","Punk rock",Telepathy,Happy,"Community leader or elder","Education/Youth development"
2013,[2013],USA,OH,Male,10,[10],Left-Handed,0,0,0,2,Bus,45,0.347,60,"Martial Arts",995,930,1000,957,198,134,0,,,,,July,Summer,Yes,Yes,Fruit,Tea,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2012,[2012],USA,DC,Male,12,[12],Right-Handed,156,24,151,3,Car,25,0.375,41,Soccer,999,999,1000,998,47,666,24,"Same length",75.5,75.5,"Same length",September,Summer,No,No,Meat,Water,English,9,7,4,"Yes - broadband connection","Text messaging",7,7,10,1,6,7,5,7,1,5,4,1,0,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person",Environment
2014,[2014],USA,WI,Male,16,[16],Right-Handed,168,24,177,1,Walk,25,0.39,39,Other,524,545,535,556,786,802,24,"Same length",72,75,"Ring finger",October,Fall,Yes,No,"Rice/Noodle dishes",Water,"Social studies",7,9,2,"Yes - broadband connection","Text messaging",60,60,10,4,20,5,20,10,10,5,10,5,10,2,"Very little","Graduate degree","Punk rock",Telepathy,Happy,"Community leader or elder",Health
